Ind,mnm1_sd,mnm2_sd,mnm3_sd,mnp4_sd,mxm1_sd,mxm2_sd,mxm3_sd,mxp3_sd,mxp4_sd,mnm1av,mnm2av,mnm3av,mnp4av,mxm1av,mxm2av,mxm3av,mxp3av,mxp4av,sex,dimension
F22,NA,NA,NA,NA,-0.132000000000001,-0.326000000000001,-0.735999999999999,-0.175,-0.42,NA,NA,NA,NA,9.418,11.03,11.351,7.8365,8.324,female,breadth
F23,NA,NA,NA,NA,-0.462999999999999,-0.725999999999999,-0.469000000000001,-0.164,-0.475000000000001,NA,NA,NA,NA,10.5765,12.32,12.3695,8.224,9.0265,female,breadth
F24,NA,NA,NA,NA,-0.0380000000000003,-0.196000000000003,-0.241000000000001,-0.968999999999999,-0.457000000000003,NA,NA,NA,NA,9.893,12.381,12.3825,7.6865,9.4475,female,breadth
F25,NA,NA,NA,NA,-0.0649999999999995,-0.280000000000001,-0.0449999999999999,-0.372,-0.431000000000001,NA,NA,NA,NA,10.3105,11.493,11.5675,6.935,8.7355,female,breadth
F26,NA,NA,NA,NA,-0.359999999999999,-0.00499999999999723,0.276999999999999,NA,-0.549999999999999,NA,NA,NA,NA,10.226,11.9715,12.0475,NA,9.797,female,breadth
F27,NA,NA,NA,NA,0.168999999999999,-0.281000000000001,-0.401999999999999,NA,-0.535999999999998,NA,NA,NA,NA,10.3475,12.0505,11.935,NA,8.961,female,breadth
F28,-0.270999999999999,-0.0279999999999987,-0.269999999999998,-0.0549999999999997,NA,NA,NA,NA,NA,8.1745,10.332,10.772,7.0115,NA,NA,NA,NA,NA,female,breadth
F29,NA,NA,NA,NA,-0.325000000000001,NA,-0.107000000000001,-0.585,-0.167999999999999,NA,NA,NA,NA,9.9825,NA,11.8095,8.0315,8.808,female,breadth
F3,-0.280999999999997,-0.390999999999998,-0.151000000000002,-0.0200000000000014,-0.175999999999998,NA,NA,-0.0469999999999997,-0.153,7.4205,8.9525,9.9305,6.517,9.491,NA,NA,7.5795,8.3875,female,breadth
F30,NA,NA,NA,NA,NA,-0.119999999999999,-0.166000000000002,NA,NA,NA,NA,NA,NA,NA,10.525,12.104,NA,NA,female,breadth
F31,NA,NA,NA,NA,NA,-0.109,-0.0269999999999992,NA,NA,NA,NA,NA,NA,NA,10.8915,10.9195,NA,NA,female,breadth
F32,NA,NA,NA,NA,-0.189999999999998,-0.298999999999999,-0.0889999999999986,-0.252000000000002,-0.288,NA,NA,NA,NA,9.727,10.6495,11.1815,7.361,8.36,female,breadth
F33,0.0169999999999995,-0.124000000000001,-0.110999999999999,0.136999999999999,NA,NA,NA,NA,NA,8.3145,9.893,10.2595,6.8505,NA,NA,NA,NA,NA,female,breadth
F34,NA,NA,NA,NA,-0.452999999999998,-0.305999999999997,-0.0550000000000015,-0.380999999999998,-0.209,NA,NA,NA,NA,9.8005,11.743,10.9655,7.6045,8.6235,female,breadth
F35,NA,NA,NA,NA,-0.295999999999999,-0.111999999999998,0.163,-0.0250000000000004,-0.283000000000001,NA,NA,NA,NA,9.467,11.446,11.7825,7.7925,8.8225,female,breadth
F36,NA,NA,NA,NA,-0.0730000000000022,-0.133999999999999,0.135,0.414999999999999,-0.345999999999998,NA,NA,NA,NA,9.5055,9.753,9.3965,7.0395,8.149,female,breadth
