Sex,Dimension,trait,sides_ms,sides_df,ind_ms,ind_df,sxi_ms,sxi_df,me_ms,me_df,sides_f,sides_p,ind_f,ind_p,fa_me_f,fa_me_p,anova_bonf,anova_rank,anova_alpha,pct_me,n_reps,fa10_noME,fa10_df
male,breadth,mnp4,0.05966371168019148,1,0.08999682050791892,14,0.002049212597635577,14,2.486826554981311e-4,270,29.115432800399862,9.431086362908355e-5,43.91775680657004,4.1340000782210045e-9,8.240271495938634,1.087110107093059e-14,0.025,7,*,12.135522482394762,10,1.8005299421374458e-4,10.799985813320232
male,breadth,mnm3,0.07818070542843747,1,0.13704040897264688,13,7.505704124911429e-4,13,1.811412402943162e-4,252,104.16172037604805,1.4195056365839043e-7,182.58168280016503,1.6702945012963345e-12,4.143564498463325,3.150558458978645e-6,0.05,8,*,24.133810403358225,10,5.6942917219682663e-5,7.459967712216925
male,length,mxp4,0.529028942246492,1,0.07418516975571814,28,0.01879924035906034,28,6.352816502245628e-4,522,28.14097442993356,1.2059137974767365e-5,3.946179118879366,2.575553707465657e-4,29.591977593584012,1.8742916203814015e-89,0.00625,1,*,3.379294259187379,10,0.0018163958708835777,26.13796910404415
male,length,mxm3,0.047753236595464585,1,0.06463709533477106,32,0.005109595703487286,32,2.865219111827686e-4,592,9.345795512328523,0.0044876512223702425,12.650138892722257,7.099066595199795e-11,17.83317611694954,5.5736809942581226e-67,0.0071428571428571435,2,*,5.6075260707460295,9.969696969696969,4.837733591065322e-4,28.506959917994028
male,length,mxm1,0.37665289296208154,1,0.05274509460231979,32,0.005334157537562554,32,4.2427941258051685e-4,592,70.61150524890445,1.3328379784052465e-9,9.888177135919703,1.991364157325961e-9,12.572275202135277,4.0300555593213467e-48,0.008333333333333333,3,*,7.954009786789904,9.969696969696969,4.924801766699309e-4,27.10261725695532
male,length,mxm2,0.21574014089335103,1,0.06560171960461736,34,0.004985841277707908,34,4.460042653362337e-4,630,43.270559345308946,1.5444912879348373e-7,13.15760288999328,1.0502523541446866e-11,11.178909407848785,3.1816176023949994e-45,0.01,4,*,8.945416440157333,10,4.5398370123716743e-4,28.177018007356285
male,length,mnp4,0.001492192208867003,1,0.08735802131404148,14,0.010481341839290382,14,3.9372534301279004e-4,270,0.14236652441516293,0.7115977170155119,8.334621907528195,1.543467027419374e-4,26.62094788993529,5.481291062412058e-43,0.0125,5,*,3.7564402444815825,10,0.0010087616496277593,12.9670031511073
male,length,mnm1,0.07660639969514343,1,0.07632535037839087,16,0.005393708070108743,16,4.153930324648874e-4,302,14.202919160509731,0.0016802026683841512,14.150812277248827,1.5195206633326895e-6,12.984589650199936,3.984620238156871e-26,0.016666666666666666,6,*,7.701437064548297,9.882352941176471,5.037580692853901e-4,13.626157716280435
male,length,mnm3,0.0751353331056478,1,0.05417750334373296,13,0.003039661092388947,13,1.9280764726423675e-4,252,24.71832576788915,2.55400448084489e-4,17.82353416944699,3.5568676924089427e-6,15.76525171858556,4.954294901190355e-26,0.025,7,*,6.343063960222761,10,2.8468534451247103e-4,11.40074184543305
male,length,mnm2,0.18562480648425822,1,0.10376643752354014,15,0.002897350237725875,15,2.3119105123299162e-4,288,64.06709277576148,8.55554584498152e-7,35.81425406304563,5.099701584495268e-9,12.532276756706986,6.557561883721946e-24,0.05,8,*,7.979396077929919,10,2.666159186492883e-4,12.697476600483695
