Sex,Dimension,trait,Ind,n_reps,group_mean,group_sd,extreme_val,direction,Q_vs_mean,p_vs_mean,Q_vs_zero,p_vs_zero,bonf_mean,rank_mean,sig_mean,bonf_zero,rank_zero,sig_zero
female,breadth,mnm3,F6,10,-0.1941500000000001,0.20136039217703272,-0.29999999999999893,low,0.21818181818181395,0.7028177823600861,0.21818181818181395,0.7028177823600861,9.090909090909091e-4,146,n.s.,9.090909090909091e-4,146,n.s.
female,breadth,mnm3,F7,10,-0.1941500000000001,0.20136039217703272,0.17999999999999972,high,0.478260869565214,0.05691757955655679,0.478260869565214,0.05691757955655679,2.747252747252747e-4,19,n.s.,2.747252747252747e-4,19,n.s.
female,breadth,mnm3,F8,10,-0.1941500000000001,0.20136039217703272,-0.22000000000000064,high,0.2941176470588209,0.4376651217954119,0.2941176470588209,0.4376651217954119,4.5454545454545455e-4,91,n.s.,4.5454545454545455e-4,91,n.s.
female,breadth,mnm3,F9,10,-0.1941500000000001,0.20136039217703272,-0.5,low,0.5283018867924523,0.723463392319716,0.5283018867924523,0.723463392319716,0.0010416666666666667,153,n.s.,0.0010416666666666667,153,n.s.
female,breadth,mnp4,F1,10,-0.0740666666666667,0.1524436155711732,0.20000000000000018,high,0.211538461538462,0.7432201622075838,0.21153846153846195,0.7432201622075838,0.0011627906976744186,158,n.s.,0.0011627906976744186,158,n.s.
female,breadth,mnp4,F11,10,-0.0740666666666667,0.1524436155711732,0.14000000000000057,high,0.08000000000000185,0.4982809444077154,0.08000000000000185,0.4982809444077154,5.263157894736842e-4,106,n.s.,5.263157894736842e-4,106,n.s.
female,breadth,mnp4,F14,10,-0.0740666666666667,0.1524436155711732,0.07000000000000028,high,0.3902439024390246,0.2370154728463213,0.3902439024390246,0.2370154728463213,3.3112582781456954e-4,50,n.s.,3.3112582781456954e-4,50,n.s.
female,breadth,mnp4,F15,10,-0.0740666666666667,0.1524436155711732,-0.4400000000000004,low,0.44736842105263147,0.5845115664546274,0.4473684210526315,0.5845115664546274,6.578947368421052e-4,125,n.s.,6.578947368421052e-4,125,n.s.
female,breadth,mnp4,F16,10,-0.0740666666666667,0.1524436155711732,0.05999999999999961,high,0.24999999999999584,0.5172723247104067,0.24999999999999584,0.5172723247104067,0.00054945054945054945,110,n.s.,0.00054945054945054945,110,n.s.
female,breadth,mnp4,F2,10,-0.0740666666666667,0.1524436155711732,-0.1200000000000001,low,0.10526315789473906,0.7104212463099162,0.10526315789473906,0.7104212463099162,9.615384615384616e-4,149,n.s.,9.615384615384616e-4,149,n.s.
female,breadth,mnp4,F28,10,-0.0740666666666667,0.1524436155711732,-0.33000000000000007,low,0.3255813953488387,0.2277006147989633,0.32558139534883873,0.2277006147989633,3.246753246753247e-4,47,n.s.,3.246753246753247e-4,47,n.s.
female,breadth,mnp4,F3,10,-0.0740666666666667,0.1524436155711732,-0.3099999999999996,low,0.45098039215686203,0.0765344058662087,0.45098039215686203,0.0765344058662087,2.808988764044944e-4,23,n.s.,2.808988764044944e-4,23,n.s.
female,breadth,mnp4,F33,10,-0.0740666666666667,0.1524436155711732,0.2599999999999998,high,0.22727272727272668,0.6069462666042877,0.2272727272727267,0.6069462666042877,7.042253521126761e-4,130,n.s.,7.042253521126761e-4,130,n.s.
female,breadth,mnp4,F4,10,-0.0740666666666667,0.1524436155711732,0.08999999999999986,high,0.3529411764705861,0.3235197150846762,0.3529411764705861,0.3235197150846762,3.787878787878788e-4,69,n.s.,3.787878787878788e-4,69,n.s.
female,breadth,mnp4,F5,10,-0.0740666666666667,0.1524436155711732,0.09999999999999964,high,0.16000000000000014,0.9571906195075713,0.16000000000000014,0.9571906195075713,0.00625,193,n.s.,0.00625,193,n.s.
female,breadth,mnp4,F6,10,-0.0740666666666667,0.1524436155711732,-0.5500000000000007,low,0.3164556962025328,0.32631060103427767,0.3164556962025328,0.32631060103427767,3.816793893129771e-4,70,n.s.,3.816793893129771e-4,70,n.s.
female,breadth,mnp4,F7,10,-0.0740666666666667,0.1524436155711732,-0.1299999999999999,low,0.33333333333333137,0.6113423281986512,0.33333333333333137,0.6113423281986512,7.142857142857143e-4,131,n.s.,7.142857142857143e-4,131,n.s.
female,breadth,mnp4,F8,10,-0.0740666666666667,0.1524436155711732,-0.7299999999999995,low,0.4428571428571409,0.6327828599806914,0.4428571428571409,0.6327828599806914,7.8125e-4,137,n.s.,7.8125e-4,137,n.s.
female,breadth,mnp4,F9,10,-0.0740666666666667,0.1524436155711732,-0.11000000000000032,low,0.1818181818181855,0.6739648722207612,0.1818181818181855,0.6739648722207612,8.333333333333334e-4,141,n.s.,8.333333333333334e-4,141,n.s.
female,breadth,mxm1,F1,10,-0.21983870967741936,0.19546220995211655,-0.46999999999999886,low,0.3488372093023225,0.41054890125142107,0.3488372093023225,0.41054890125142107,4.385964912280702e-4,87,n.s.,4.385964912280702e-4,87,n.s.
female,breadth,mxm1,F11,10,-0.21983870967741936,0.19546220995211655,-0.009999999999999787,high,0.3103448275862054,0.34115894522383794,0.3103448275862054,0.34115894522383794,3.90625e-4,73,n.s.,3.90625e-4,73,n.s.
female,breadth,mxm1,F12,10,-0.21983870967741936,0.19546220995211655,-0.02999999999999936,high,0.34246575342465735,0.31289777882836184,0.34246575342465735,0.31289777882836184,3.676470588235294e-4,65,n.s.,3.676470588235294e-4,65,n.s.
female,breadth,mxm1,F13,10,-0.21983870967741936,0.19546220995211655,-0.5199999999999996,low,0.6034482758620683,0.5378278197797521,0.6034482758620683,0.5378278197797521,5.681818181818183e-4,113,n.s.,5.681818181818183e-4,113,n.s.
female,breadth,mxm1,F14,10,-0.21983870967741936,0.19546220995211655,-0.379999999999999,low,0.20689655172413413,0.78069720832848,0.20689655172413413,0.78069720832848,0.001388888888888889,165,n.s.,0.001388888888888889,165,n.s.
female,breadth,mxm1,F15,10,-0.21983870967741936,0.19546220995211655,-0.13000000000000078,high,0.11764705882352695,0.7510174782963359,0.11764705882352695,0.7510174782963359,0.0011904761904761906,159,n.s.,0.0011904761904761906,159,n.s.
female,breadth,mxm1,F16,10,-0.21983870967741936,0.19546220995211655,0,high,0.43478260869565316,0.0765344058662113,0.43478260869565316,0.0765344058662113,2.824858757062147e-4,24,n.s.,2.824858757062147e-4,24,n.s.
female,breadth,mxm1,F17,10,-0.21983870967741936,0.19546220995211655,0.05999999999999872,high,0.1666666666666642,0.9571906195075871,0.1666666666666642,0.9571906195075871,0.0071428571428571435,194,n.s.,0.0071428571428571435,194,n.s.
female,breadth,mxm1,F18,10,-0.21983870967741936,0.19546220995211655,-0.030000000000001137,high,0.16279069767441592,0.9902172249566998,0.16279069767441592,0.9902172249566998,0.025,199,n.s.,0.025,199,n.s.
female,breadth,mxm1,F19,10,-0.21983870967741936,0.19546220995211655,0.08000000000000007,high,0.5128205128205126,0.037609269780504835,0.5128205128205126,0.037609269780504835,2.6881720430107527e-4,15,n.s.,2.6881720430107527e-4,15,n.s.
female,breadth,mxm1,F2,10,-0.21983870967741936,0.19546220995211655,0.16999999999999993,high,0.21739130434782106,0.7512536582523747,0.21739130434782106,0.7512536582523747,0.00125,161,n.s.,0.00125,161,n.s.
female,breadth,mxm1,F20,10,-0.21983870967741936,0.19546220995211655,-0.16000000000000014,high,0.07142857142856962,0.44904896386298754,0.07142857142856962,0.44904896386298754,4.62962962962963e-4,93,n.s.,4.62962962962963e-4,93,n.s.
female,breadth,mxm1,F21,10,-0.21983870967741936,0.19546220995211655,-0.6600000000000001,low,0.25000000000000183,0.9687146186359228,0.25000000000000183,0.9687146186359228,0.008333333333333333,195,n.s.,0.008333333333333333,195,n.s.
female,breadth,mxm1,F22,10,-0.21983870967741936,0.19546220995211655,0,high,0.20000000000000284,0.7059635394309495,0.20000000000000284,0.7059635394309495,9.25925925925926e-4,147,n.s.,9.25925925925926e-4,147,n.s.
female,breadth,mxm1,F23,10,-0.21983870967741936,0.19546220995211655,-0.28000000000000114,high,0.25714285714285323,0.3760445095266042,0.25714285714285323,0.3760445095266042,4.166666666666667e-4,81,n.s.,4.166666666666667e-4,81,n.s.
female,breadth,mxm1,F24,10,-0.21983870967741936,0.19546220995211655,0.120000000000001,high,0.06976744186046752,0.012500000000028377,0.06976744186046752,0.012500000000028377,2.6041666666666666e-4,9,n.s.,2.6041666666666666e-4,9,n.s.
female,breadth,mxm1,F25,10,-0.21983870967741936,0.19546220995211655,0.28000000000000114,high,0.21875000000000347,0.7092893210493103,0.21875000000000347,0.7092893210493103,9.433962264150943e-4,148,n.s.,9.433962264150943e-4,148,n.s.
female,breadth,mxm1,F26,10,-0.21983870967741936,0.19546220995211655,-0.15000000000000036,high,0.4411764705882313,0.061788449496831745,0.4411764705882313,0.061788449496831745,2.777777777777778e-4,21,n.s.,2.777777777777778e-4,21,n.s.
