Sex,Dimension,trait,sides_ms,sides_df,ind_ms,ind_df,sxi_ms,sxi_df,me_ms,me_df,sides_f,sides_p,ind_f,ind_p,fa_me_f,fa_me_p,anova_bonf,anova_rank,anova_alpha,pct_me,n_reps,fa10_noME,fa10_df
male,breadth,mnp4,3.0988003333333354,1,4.843645571428567,14,0.0931160476190475,14,0.013271740740740761,270,33.27890747694767,4.861544052918432e-5,52.01730201484376,1.3190419749243202e-9,7.016114120825588,2.5783657484691706e-12,0.025,7,*,14.252903855023522,10,0.007984430687830673,10.282758994848141
male,breadth,mnm3,10.146035714285695,1,17.820970549450575,13,0.10693648351648168,13,0.022902698412698413,252,94.87908504791939,2.438686415132141e-7,166.6500521003564,3.0059609188850095e-12,4.6691652481085235,3.2418910952839195e-7,0.05,8,*,21.417104490039186,10,0.008403378510378326,8.00890168187986
male,length,mxp4,28.780413793103357,1,3.8266749014778205,28,1.027308078817736,28,0.03246103448275857,522,28.015367917893645,1.2455566646542161e-5,3.724953575641787,4.2500716106208997e-4,31.647422677283526,4.845033492003163e-94,0.00625,1,*,3.159814971971789,10,0.09948470443349774,26.257053790018585
male,length,mxm3,8.313193920972635,1,11.488115025909714,32,0.8496381587196035,32,0.04987414602102101,592,9.784393315738711,0.0037361250693623564,13.52118535168217,2.819179683882111e-11,17.035643244126867,2.7989288649069883e-64,0.0071428571428571435,2,*,5.870045443366252,9.969696969696969,0.08021949063542012,28.34815467830708
male,length,mxm1,39.202997112461844,1,5.549972138107888,32,0.5420157846799991,32,0.045500874624624606,592,72.32814656054143,1.0186073603483873e-9,10.239502787514828,1.2520385592294566e-9,11.912205845526005,1.4322366467450986e-45,0.008333333333333333,3,*,8.394750837650953,9.969696969696969,0.049802407391572524,26.842644218879137
male,length,mxm2,35.36553657142847,1,10.7730192184874,34,0.7751951008403357,34,0.07069342857142845,630,45.621465529246926,9.182837791167917e-8,13.8971714434329,4.676047311539483e-12,10.9655892563915,2.543678566591869e-44,0.01,4,*,9.119436964293834,10,0.07045016722689072,28.068942940835598
male,length,mnp4,0.08400133333333631,1,6.467239904761902,14,0.6933556190476181,14,0.026895555555555582,270,0.12115187506336095,0.7329666803464969,9.32745005174285,8.068220545089311e-5,25.779561147767318,6.143381701226082e-42,0.0125,5,*,3.8790419831743597,10,0.06664600634920625,12.933924876353851
male,length,mnm3,20.69920321428578,1,15.231086510989055,13,0.807518598901091,13,0.05062710317460331,252,25.633097791746497,2.1745218398631417e-4,18.861592205698084,2.5440587734532695e-6,15.950322026447218,2.6465346179769754e-26,0.016666666666666666,6,*,6.269465897565584,10,0.07568914957264877,11.418721554834432
male,length,mnm1,7.927357440476193,1,7.779247903025814,16,0.5513953335813503,16,0.04310323399558504,302,14.376903389782909,0.0016005552781116045,14.108294773731703,1.5521718559346621e-6,12.79243533415215,9.346111051931867e-26,0.025,7,*,7.817119835894619,9.882352941176471,0.05143431960094053,13.591893089574397
male,length,mnm2,27.78903124999997,1,15.96887933333333,15,0.4254599166666644,15,0.034998194444444436,288,65.31527450980036,7.595374600820893e-7,37.53321689724414,3.6474139891642685e-9,12.15662474651464,3.2372262622562717e-23,0.05,8,*,8.225967493869584,10,0.039046172222221995,12.629258635269542
